Sample,AC(10:0) Results,AC(12:0) Results,AC(12:1) Results,AC(14:0) Results,AC(14:0)-OH Results,AC(14:1) Results,AC(14:1)-OH Results,AC(14:2) Results,AC(15:0) (a) Results,AC(15:0) (b) Results,AC(16:0) Results,AC(16:0)-OH Results,AC(16:1) Results,AC(16:1)-OH Results,AC(17:0) (a) Results,AC(17:0) (b) Results,AC(18:0) Results,AC(18:0)-OH Results,AC(18:1) Results,AC(18:1)-OH Results,AC(18:2) Results,AC(18:3) Results,AC(20:3) (a) Results,AC(20:3) (b) Results,AC(20:4) Results,AC(20:5) Results,AC(22:6) Results,AC(24:0) Results,CE(14:0) Results,CE(15:0) Results,CE(16:0) Results,CE(16:1) Results,CE(16:2) Results,CE(17:0) Results,CE(17:1) Results,CE(18:0) Results,CE(18:1) Results,CE(18:2) Results,CE(18:2) [+OH] Results,CE(18:3) Results,CE(20:0) Results,CE(20:1) Results,CE(20:4) Results,CE(20:4) [+OH] Results,CE(20:5) Results,CE(22:1) Results,CE(22:4) Results,CE(22:5) Results,CE(22:6) Results,CE(24:6) Results,Cer(d16:1/22:0) Results,Cer(d16:1/23:0) Results,Cer(d16:1/24:0) Results,Cer(d16:1/24:1) Results,Cer(d17:1/20:0) Results,Cer(d17:1/22:0) Results,Cer(d17:1/23:0) Results,Cer(d17:1/24:0) Results,Cer(d17:1/24:1) Results,Cer(d18:1/16:0) Results,Cer(d18:1/18:0) Results,Cer(d18:1/20:0) Results,Cer(d18:1/21:0) Results,Cer(d18:1/22:0) Results,Cer(d18:1/23:0) Results,Cer(d18:1/24:0) Results,Cer(d18:1/24:1) Results,Cer(d18:1/26:0) Results,Cer(d18:2/16:0) Results,Cer(d18:2/18:0) Results,Cer(d18:2/20:0) Results,Cer(d18:2/22:0) Results,Cer(d18:2/23:0) Results,Cer(d18:2/24:0) Results,Cer(d18:2/24:1) Results,Cer(d19:1/22:0) Results,Cer(d20:1/22:0) Results,Cer(d20:1/23:0) Results,Cer(d20:1/24:0) Results,Cer(d20:1/24:1) Results,Cer(m18:0/20:0) Results,Cer(m18:0/22:0) Results,Cer(m18:0/23:0) Results,Cer(m18:0/24:0) Results,Cer(m18:0/24:1) Results,Cer(m18:1/22:0) Results,Cer(m18:1/24:0) Results,DG(16:0_22:5) Results,DG(16:0_22:6) Results,DG(18:0_18:1) Results,DG(18:0_18:2) Results,DG(18:0_20:4) Results,DG(18:1_18:1) Results,DG(18:1_18:2) Results,DG(18:1_20:3) Results,DG(18:1_20:4) Results,DG(18:1_22:5) Results,DG(18:1_22:6) Results,DG(18:2_18:2) Results,DG(18:2_20:4) Results,DG(18:2_22:6) Results,dhCer(d18:0/20:0) Results,dhCer(d18:0/22:0) Results,dhCer(d18:0/24:0) Results,dhCer(d18:0/24:1) Results,dimethyl-CE(18:1) Results,dimethyl-CE(18:2) Results,dimethyl-CE(20:4) Results,FA(14:0) Results,FA(16:0) Results,FA(16:1) Results,FA(18:0) Results,FA(18:1) Results,FA(18:2) Results,FA(18:3) Results,FA(20:3) Results,FA(20:4) Results,FA(20:5) Results,FA(22:4) Results,FA(22:5) Results,FA(22:6) Results,GM3(d18:1/16:0) Results,GM3(d18:1/18:0) Results,GM3(d18:1/20:0) Results,Hex2Cer(d18:1/16:0) Results,Hex2Cer(d18:1/20:0) Results,Hex2Cer(d18:1/24:0) Results,Hex2Cer(d18:1/24:1) Results,Hex2Cer(d18:2/16:0) Results,Hex2Cer(d18:2/24:1) Results,Hex3Cer(d18:1/16:0) Results,Hex3Cer(d18:1/18:0) Results,Hex3Cer(d18:1/24:0) Results,HexCer(d16:1/24:0) Results,HexCer(d18:1/16:0) Results,HexCer(d18:1/18:0) Results,HexCer(d18:1/20:0) Results,HexCer(d18:1/22:0) Results,HexCer(d18:1/24:0) Results,HexCer(d18:1/24:1) Results,HexCer(d18:2/20:0) Results,HexCer(d18:2/22:0) Results,HexCer(d18:2/24:0) Results,LPC(14:0) (a) Results,LPC(14:0) (b) Results,LPC(15:0) (a) Results,LPC(15:0) (b) Results,LPC(16:0) (a) Results,LPC(16:0) (b) Results,LPC(16:1) (a\b) Results,LPC(17:0) (a) Results,LPC(17:0) (b) Results,LPC(17:1) (a) Results,LPC(17:1) (b) Results,LPC(18:0) (a) Results,LPC(18:0) (b) Results,LPC(18:1) (a) Results,LPC(18:1) (b) Results,LPC(18:2) (a) Results,LPC(18:2) (b) Results,LPC(18:3) (a/b) Results,LPC(19:0) (a) Results,LPC(19:0) (b) Results,LPC(20:0) (a) Results,LPC(20:0) (b) Results,LPC(20:1) (a) Results,LPC(20:1) (b) Results,LPC(20:2) (a) Results,LPC(20:2) (b) Results,LPC(20:3) (a) Results,LPC(20:3) (b) Results,LPC(20:4) (a) Results,LPC(20:4) (b) Results,LPC(20:4) [+OH] Results,LPC(20:5) (a) Results,LPC(20:5) (b) Results,LPC(22:0) (a) Results,LPC(22:0) (b) Results,LPC(22:4) (a) Results,LPC(22:4) (b) Results,LPC(22:5) (n6) Results,LPC(22:6) (a) Results,LPC(22:6) (b) Results,LPC(22:6) [+OH] Results,LPC(24:0) (a) Results,LPC(24:0) (b) Results,LPC(O-16:0) Results,LPC(O-18:0) Results,LPC(O-18:1) Results,LPC(O-20:0) Results,LPC(O-22:0) Results,LPC(O-22:1) Results,LPC(O-24:0) Results,LPC(O-24:1) Results,LPC(P-16:0) Results,LPC(P-18:0) Results,LPC(P-18:1) Results,LPE(16:0) (a) Results,LPE(16:0) (b) Results,LPE(17:0) (a\b) Results,LPE(18:0) (a) Results,LPE(18:0) (b) Results,LPE(18:1) (a) Results,LPE(18:1) (b) Results,LPE(18:2) (a) Results,LPE(18:2) (b) Results,LPE(20:4) (a) Results,LPE(20:4) (b) Results,LPE(22:6) (a) Results,LPE(22:6) (b) Results,LPE(P-16:0) Results,LPE(P-18:0) Results,LPE(P-18:1) Results,LPE(P-20:0) Results,LPI(18:0) Results,LPI(18:1) (a\b) Results,LPI(18:2) (a\b) Results,LPI(20:4) (a\b) Results,methyl-CE(18:2) Results,methyl-CE(20:4) Results,PC(14:0_16:0) Results,PC(14:0_20:4) Results,PC(15:0_20:4) Results,PC(15:0_22:6) Results,PC(16:0_16:0) Results,PC(16:0_18:0) Results,PC(16:0_18:1) Results,PC(16:0_18:2) Results,PC(18:0_18:1) Results,PC(18:0_20:3) Results,PC(28:0) Results,PC(31:0) (a\b) Results,PC(31:1) Results,PC(32:1) Results,PC(32:2) Results,PC(33:1) Results,PC(33:2) Results,PC(34:2) [+OH] Results,PC(34:3) (a\b\c) Results,PC(34:5) Results,PC(35:1) (a\b) Results,PC(35:2) (a\b) Results,PC(36:2) (a\b) Results,PC(36:3) (a\b\c) Results,PC(36:4) (a\b) Results,PC(36:4) [+OH] Results,PC(36:5) (a\b) Results,PC(36:6) (a\b) Results,PC(37:4) (a\b) Results,PC(38:2) Results,PC(38:4) (a\b\c) Results,PC(38:5) (a\b) Results,PC(38:6) (a\b) Results,PC(38:7) (a\b\c) Results,PC(39:6) (a\b) Results,PC(40:5) (a\b) Results,PC(40:7) (a\b\c) Results,PC(40:8) Results,PC(O-16:0/16:0) Results,PC(O-16:0/20:4) Results,PC(O-16:0/22:6) Results,PC(O-18:0/20:4) Results,PC(O-34:1) Results,PC(O-34:2) Results,PC(O-34:4) Results,PC(O-35:4) Results,PC(O-36:0) Results,PC(O-36:2) (a\b) Results,PC(O-36:5) Results,PC(O-38:5) Results,PC(O-40:5) Results,PC(O-40:7) Results,PC(P-15:0/20:4) (a\b) Results,PC(P-16:0/18:2) Results,PC(P-16:0/18:3) Results,PC(P-16:0/20:5) Results,PC(P-16:0/22:6) Results,PC(P-18:0/22:6) Results,PC(P-35:2) (a\b) Results,PC(P-36:3) Results,PC(P-38:5) (a) Results,PC(P-38:5) (b) Results,PE(16:0_16:0) Results,PE(16:0_16:1) Results,PE(16:0_18:1) Results,PE(16:0_18:2) Results,PE(16:0_20:4) Results,PE(16:0_22:6) Results,PE(18:0_18:1) Results,PE(18:0_20:3) (a) Results,PE(18:0_20:3) (b) Results,PE(18:0_20:4) Results,PE(18:0_22:5) (a) Results,PE(18:0_22:5) (b) Results,PE(18:0_22:6) Results,PE(18:1_22:6) (a\b) Results,PE(34:3) (a\b\c) Results,PE(35:2) (a\b) Results,PE(36:2) (a\b) Results,PE(36:3) (a) Results,PE(36:3) (b) Results,PE(36:5) (a\b) Results,PE(37:4) (a\b) Results,PE(38:5) (a\b) Results,PE(39:6) (a\b) Results,PE(40:4) (a\b) Results,PE(O-16:0/18:2) Results,PE(O-16:0/20:4) Results,PE(O-18:0/22:5) Results,PE(O-18:0/22:6) Results,PE(O-18:1/22:6) Results,PE(O-34:1) Results,PE(O-38:4) (a\b) Results,PE(P-15:0/22:6) Results,PE(P-16:0/18:1) Results,PE(P-16:0/20:4) Results,PE(P-16:0/20:5) Results,PE(P-16:0/22:4) Results,PE(P-16:0/22:5) (a) Results,PE(P-16:0/22:5) (b) Results,PE(P-16:0/22:6) Results,PE(P-18:0/18:1) Results,PE(P-18:0/18:2) Results,PE(P-18:0/20:3) (a\b) Results,PE(P-18:0/20:4) Results,PE(P-18:0/20:5) Results,PE(P-18:0/22:4) Results,PE(P-18:0/22:5) (a) Results,PE(P-18:0/22:5) (b) Results,PE(P-18:0/22:6) Results,PE(P-18:1/18:1) (a\b) Results,PE(P-18:1/20:4) (a\b) Results,PE(P-18:1/22:4) Results,PE(P-18:1/22:6) (a\b) Results,PE(P-20:0/18:2) Results,PE(P-20:0/20:4) Results,PE(P-20:0/22:6) Results,PE(P-20:1/20:4) Results,PE(P-20:1/22:6) Results,PI(15-MHDA_18:1)/PI(17:0_18:1) Results,PI(15-MHDA_18:2)/PI(17:0_18:2) Results,PI(16:0/16:0) Results,PI(16:0_16:1) Results,PI(16:0_20:4) Results,PI(18:0_20:2) Results,PI(18:0_20:3) Results,PI(18:0_20:4) Results,PI(18:0_22:5) Results,PI(18:0_22:6) Results,PI(34:1) Results,PI(36:2) Results,PI(37:4) Results,PI(37:6) Results,PI(38:5) (a) Results,PI(38:5) (b) Results,PI(38:6) Results,PI(40:4) (a\b) Results,PIP1(38:4) Results,PS(36:2) Results,PS(38:4) Results,SHexCer(d18:1/16:0) Results,SHexCer(d18:1/24:1) Results,SM(34:3) Results,SM(35:1) Results,SM(35:2) (a) Results,SM(35:2) (b) Results,SM(37:1) Results,SM(38:3) (a\b) Results,SM(40:2) (a\b) Results,SM(41:0) Results,SM(41:1) (a) Results,SM(41:1) (b) Results,SM(41:2) (a) Results,SM(41:2) (b) Results,SM(42:2) (a) Results,SM(42:2) (b) Results,SM(43:1) Results,SM(43:2) (a\b\c) Results,SM(d17:1/14:0) Results,SM(d17:1/16:0) Results,SM(d18:0/14:0) Results,SM(d18:0/16:0) Results,SM(d18:0/22:0) Results,SM(d18:1/14:0)/SM(d16:1/16:0) Results,SM(d18:1/16:0) Results,SM(d18:1/18:0)/SM(d16:1/20:0) Results,SM(d18:1/20:0)/SM(d16:1/22:0) Results,SM(d18:1/22:0)/SM(d16:1/24:0) Results,SM(d18:1/24:0) Results,SM(d18:2/14:0) Results,SM(d18:2/16:0) Results,SM(d18:2/18:0) Results,SM(d18:2/20:0) Results,TG(48:0) [NL-16:0] Results,TG(48:0) [NL-18:0] Results,TG(48:0) [SIM] Results,TG(48:1) [NL-16:1] Results,TG(48:1) [NL-18:1] Results,TG(48:1) [SIM] Results,TG(48:2) [NL-14:0] Results,TG(48:2) [NL-14:1] Results,TG(48:2) [NL-16:1] Results,TG(48:2) [NL-18:2] Results,TG(48:2) [SIM] Results,TG(48:3) [NL-14:0] Results,TG(48:3) [NL-16:1] Results,TG(48:3) [NL-18:3] Results,TG(48:3) [SIM] Results,TG(49:1) [NL-16:1] Results,TG(49:1) [NL-17:1] Results,TG(49:1) [SIM] Results,TG(50:0) [NL-18:0] Results,TG(50:0) [SIM] Results,TG(50:1) [NL-14:0] Results,TG(50:1) [NL-16:0] Results,TG(50:1) [NL-18:1] Results,TG(50:1) [SIM] Results,TG(50:2) [NL-14:0] Results,TG(50:2) [NL-16:1] Results,TG(50:2) [NL-18:1] Results,TG(50:2) [NL-18:2] Results,TG(50:2) [SIM] Results,TG(50:3) [NL-14:0] Results,TG(50:3) [NL-14:1] Results,TG(50:3) [NL-16:1] Results,TG(50:3) [NL-18:2] Results,TG(50:3) [NL-18:3] Results,TG(50:3) [SIM] Results,TG(50:4) [NL-14:0] Results,TG(50:4) [NL-18:3] Results,TG(50:4) [NL-20:4] Results,TG(50:4) [SIM] Results,TG(51:0) [NL-16:0] Results,TG(51:0) [SIM] Results,TG(51:1) [NL-17:0] Results,TG(51:1) [SIM] Results,TG(51:2) [NL-15:0] Results,TG(51:2) [NL-17:0] Results,TG(51:2) [NL-17:1] Results,TG(51:2) [SIM] Results,TG(52:1) [NL-18:0] Results,TG(52:1) [NL-18:1] Results,TG(52:1) [SIM] Results,TG(52:2) [NL-16:0] Results,TG(52:2) [NL-18:2] Results,TG(52:2) [SIM] Results,TG(52:3) [NL-16:1] Results,TG(52:3) [NL-18:2] Results,TG(52:3) [SIM] Results,TG(52:4) [NL-16:1] Results,TG(52:4) [NL-18:2] Results,TG(52:4) [NL-18:3] Results,TG(52:4) [SIM] Results,TG(52:5) [NL-18:3] Results,TG(52:5) [NL-20:4] Results,TG(52:5) [NL-20:5] Results,TG(53:2) [NL-17:1] Results,TG(53:2) [SIM] Results,TG(54:0) [NL-18:0] Results,TG(54:1) [NL-18:1] Results,TG(54:1) [SIM] Results,TG(54:2) [NL-18:0] Results,TG(54:2) [NL-20:1] Results,TG(54:2) [SIM] Results,TG(54:3) [NL-18:1] Results,TG(54:3) [NL-18:2] Results,TG(54:3) [SIM] Results,TG(54:4) [NL-18:2] Results,TG(54:4) [NL-20:3] Results,TG(54:4) [SIM] Results,TG(54:5) [NL-18:3] Results,TG(54:5) [NL-20:4] Results,TG(54:5) [SIM] Results,TG(54:6) [NL-18:3] Results,TG(54:6) [NL-20:4] Results,TG(54:6) [NL-20:5] Results,TG(54:6) [NL-22:6] Results,TG(54:6) [SIM] Results,TG(54:7) [NL-20:5] Results,TG(54:7) [NL-22:6] Results,TG(54:7) [SIM] Results,TG(56:6) [NL-20:4] Results,TG(56:6) [NL-22:5] Results,TG(56:6) [SIM] Results,TG(56:7) [NL-20:4] Results,TG(56:7) [NL-20:5] Results,TG(56:7) [NL-22:5] Results,TG(56:7) [NL-22:6] Results,TG(56:7) [SIM] Results,TG(56:8) [NL-20:4] Results,TG(56:8) [NL-20:5] Results,TG(56:8) [NL-22:6] Results,TG(56:8) [SIM] Results,TG(56:9) [NL-22:6] Results,TG(56:9) [SIM] Results,TG(58:10) [NL-22:6] Results,TG(58:10) [SIM] Results,TG(58:8) [NL-22:6] Results,TG(58:9) [NL-22:6] Results,TG(O-50:1) [NL-16:0] Results,TG(O-50:1) [NL-18:1] Results,TG(O-50:1) [SIM] Results,TG(O-50:2) [NL-18:2] Results,TG(O-52:1) [NL-16:0] Results,TG(O-52:1) [NL-18:1] Results,TG(O-52:1) [SIM] Results,TG(O-52:2) [NL-16:0] Results,TG(O-54:2) [SIM] Results,TG(O-54:3) [NL-17:1] Results,TG(O-54:3) [NL-18:1] Results,Ubiquinone Results
Data File,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.,Final Conc.
2024_1024_instd_017.d,1.2526,0.3239,0.0817,0.5703,0.0426,0.0224,0.0306,0.0106,0.0149,0.0565,1.3097,0.0670,0.0327,0.0333,0.0581,0.0214,1.1644,0.0548,0.2622,0.0233,0.7412,,0.0475,0.0364,0.0511,1.8968,0.0165,,14.4713,50.6793,88.2556,57.8530,6.0933,32.0927,61.7275,26.5290,435.8066,1175.1981,29.1257,82.0720,4.2165,8.1678,1785.2156,46.4613,1.4661,4.3926,112.9814,70.2910,579.5744,3.0435,0.0443,0.0592,0.1444,0.0040,0.0172,0.1209,0.0567,0.0708,0.0038,1.6668,1.2297,0.5819,0.0575,2.1152,0.2521,1.6827,0.9915,0.0676,0.1463,0.1978,0.0649,0.4011,0.0031,0.2369,0.0301,0.0805,0.0371,0.0014,0.0244,0.0262,0.0230,0.0437,0.0020,0.0438,0.0017,0.0337,0.0536,7.0000,9.0617,17.1788,48.0015,27.9630,334.5435,11.5890,13.6764,3.0198,12.2538,2.8388,8.9791,1.4393,0.9282,0.0236,0.0094,0.0512,0.0819,52.6536,27.7762,100.9935,176.2028,1357.9908,131.6338,1930.2180,255.8309,183.0393,90.5777,35.9787,297.5043,53.3927,76.6380,55.6803,635.7004,0.0495,0.0087,0.0050,0.0640,0.0007,0.0701,0.0648,0.0045,0.0009,0.0022,0.0019,0.0598,0.0037,0.3683,0.2941,0.2066,1.6773,0.7913,0.1563,0.0059,0.0298,0.0802,3.0890,1.0896,6.9168,2.3948,230.0962,57.5419,1.2611,1.4651,0.2240,0.2935,0.0762,78.4701,16.0525,6.6320,31.0755,16.7302,66.0817,2.3379,0.0805,0.0580,0.3777,0.1546,0.4169,0.4169,0.2129,0.4203,2.9637,12.9457,42.4869,42.4869,0.1720,0.6717,2.0492,1.2453,0.4334,0.4946,0.4946,0.6936,28.8949,28.8949,0.3219,0.5732,0.1890,2.8984,1.1009,17.6716,0.2311,0.2046,0.0437,0.1111,0.0679,0.0893,17.6716,0.0304,79.7985,12.7948,6.1049,97.3608,97.3608,18.2678,3.0592,3.3205,38.3328,13.0983,78.6638,10.9552,79.0289,0.2497,0.5786,0.1545,0.7143,12.3803,10.6134,0.8407,2.5418,17.1301,1.5264,1.4732,0.4144,0.1062,0.0986,41.6200,32.6117,388.9681,440.0833,71.1174,36.3683,0.2518,0.1612,0.1052,9.6118,2.0372,1.2949,0.7499,0.4363,7.6379,0.1729,0.6398,0.5190,171.1239,54.6352,200.7807,0.0620,5.4335,0.4252,1.7712,1.5086,103.5132,17.0756,191.6238,1.2367,0.5184,5.4389,0.1771,5.5831,2.7878,4.7917,0.1616,1.2714,2.2676,3.2315,96.5245,929.5539,0.0346,0.1461,1.1862,2.3909,0.0611,0.9915,189.7921,0.1620,96.5245,0.0235,0.5346,2.6004,40.9063,0.3348,1.7626,0.5493,1.0774,0.6268,29.8447,72.7590,175.6744,400.2238,19.4308,38.5558,16.2349,328.0922,4.0812,8.9503,170.7960,33.2156,0.4011,1.9275,63.2611,20.4537,12.8465,1.5219,2.5211,41.8009,0.6473,1.0322,0.2085,0.4718,0.1167,0.4475,0.0240,0.0435,0.7815,0.0089,0.1126,2.3525,0.3956,0.8393,0.1536,0.0714,0.3718,0.5734,0.8543,0.0274,4.1652,0.6316,0.4188,0.2859,0.1946,1.0691,0.1367,0.9184,0.0077,0.6452,1.0553,0.0230,0.0655,0.0177,0.0068,0.0201,0.3111,0.0710,0.0463,40.6149,2.0182,37.5329,354.7580,0.5763,3.2053,0.7629,5.8571,2.1757,0.0220,5.6934,1.5738,3.6888,0.4988,0.1435,3.3921,25.8103,0.0133,0.0014,0.0088,0.5235,0.0274,0.0184,0.1174,150.2607,2.2181,0.1179,5.8556,5.8556,0.1159,0.5265,13.4485,1.8103,0.2432,0.1469,0.1115,1.3529,0.0737,1.8902,3.7890,0.3657,44.2076,21.7059,8.7986,38.0284,18.6426,0.1147,0.4048,0.6737,0.2634,339.2727,30.0540,298.9388,14.7271,70.7444,273.2462,31.3185,12.1342,62.1522,17.1133,191.0082,1.3907,12.5073,1.1718,90.1587,6.0953,24.5010,32.3096,77.1601,202.8284,9.6545,1552.0353,656.0619,1228.4852,47.6240,392.2428,433.1767,215.3380,1330.8373,16.7939,2.2166,155.7053,85.5518,5.9416,244.7945,6.3528,3.8402,0.5178,68.4380,2.6406,45.8066,5.2736,63.6453,0.8754,7.7395,40.4281,125.6801,77.1082,243.0645,750.3174,1428.9518,124.1946,3216.5377,126.0926,543.2507,1848.7228,40.4177,219.0546,68.4953,527.5834,11.9606,6.9862,3.2929,6.9810,20.8634,50.7964,63.2767,180.3908,170.6730,70.6688,396.3563,999.9290,48.0854,907.2973,155.1859,64.5625,538.8508,6.6837,70.7510,217.8600,3.8494,26.3119,0.3010,40.9277,192.9995,1.4767,13.4501,27.6648,2.6629,27.4653,152.6251,15.0097,1.2644,28.7745,142.8747,264.1055,1.1809,0.2256,60.3843,139.3689,5.0503,28.8056,2.0556,268.2214,21.2299,19.6864,1.7177,0.4371,10.0954,0.0503,1.2045,1.4098,19.4364,1.8024,29.8355,0.8112,1.5893,110.4051
